"LOCATION","Pays","VAR","Variable","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,30.483,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,30.093,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,30.483,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,32.201,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,31.107,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,32.201,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,33.719,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,33.16,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,33.719,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,34.499,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,34.832,,
"AUS","Australie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,34.499,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,28.87,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,28.78,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,28.87,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,28.551,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,28.772,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,28.551,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,28.53,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,28.419,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,28.53,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,28.389,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,28.448,,
"AUT","Autriche","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,28.389,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,37.687,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,37.243,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,37.687,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,38.496,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,38.125,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,38.496,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,39.406,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,38.781,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,39.406,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,39.975,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,39.753,,
"BEL","Belgique","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,39.975,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,37.072,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,37.253,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,37.072,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,38.103,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,37.646,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,38.103,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,38.643,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,38.641,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,38.643,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,40.854,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,39.126,,
"CAN","Canada","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,40.854,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,29.003,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,28.941,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,29.003,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,29.62,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,29.803,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,29.62,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,30.249,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,30.207,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,30.249,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,34.731,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,30.846,,
"CZE","République tchèque","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,34.731,,
"DNK","Danemark","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,42.964,,
"DNK","Danemark","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,43.358,,
"DNK","Danemark","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,42.964,,
