"LOCATION","VAR","TIME","Unit Code","PowerCode Code","PowerCode","Value"
"AUS","BB-P100-TOT","2016","100HAB",0,"Unités",30.483
"AUS","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",30.093
"AUS","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",30.483
"AUS","BB-P100-TOT","2017","100HAB",0,"Unités",32.201
"AUS","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",31.107
"AUS","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",32.201
"AUS","BB-P100-TOT","2018","100HAB",0,"Unités",33.719
"AUS","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",33.16
"AUS","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",33.719
"AUS","BB-P100-TOT","2019","100HAB",0,"Unités",34.499
"AUS","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",34.832
"AUS","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",34.499
"AUT","BB-P100-TOT","2016","100HAB",0,"Unités",28.87
"AUT","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",28.78
"AUT","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",28.87
"AUT","BB-P100-TOT","2017","100HAB",0,"Unités",28.551
"AUT","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",28.772
"AUT","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",28.551
"AUT","BB-P100-TOT","2018","100HAB",0,"Unités",28.53
"AUT","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",28.419
"AUT","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",28.53
"AUT","BB-P100-TOT","2019","100HAB",0,"Unités",28.389
"AUT","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",28.448
"AUT","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",28.389
"BEL","BB-P100-TOT","2016","100HAB",0,"Unités",37.687
"BEL","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",37.243
"BEL","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",37.687
"BEL","BB-P100-TOT","2017","100HAB",0,"Unités",38.496
"BEL","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",38.125
"BEL","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",38.496
"BEL","BB-P100-TOT","2018","100HAB",0,"Unités",39.406
"BEL","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",38.781
"BEL","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",39.406
"BEL","BB-P100-TOT","2019","100HAB",0,"Unités",39.975
"BEL","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",39.753
"BEL","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",39.975
"CAN","BB-P100-TOT","2016","100HAB",0,"Unités",37.072
"CAN","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",37.253
"CAN","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",37.072
"CAN","BB-P100-TOT","2017","100HAB",0,"Unités",38.103
"CAN","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",37.646
"CAN","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",38.103
"CAN","BB-P100-TOT","2018","100HAB",0,"Unités",38.643
"CAN","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",38.641
"CAN","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",38.643
"CAN","BB-P100-TOT","2019","100HAB",0,"Unités",40.854
"CAN","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",39.126
"CAN","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",40.854
"CZE","BB-P100-TOT","2016","100HAB",0,"Unités",29.003
"CZE","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",28.941
"CZE","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",29.003
"CZE","BB-P100-TOT","2017","100HAB",0,"Unités",29.62
"CZE","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",29.803
"CZE","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",29.62
"CZE","BB-P100-TOT","2018","100HAB",0,"Unités",30.249
"CZE","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",30.207
"CZE","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",30.249
"CZE","BB-P100-TOT","2019","100HAB",0,"Unités",34.731
"CZE","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",30.846
"CZE","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",34.731
"DNK","BB-P100-TOT","2016","100HAB",0,"Unités",42.964
"DNK","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",43.358
"DNK","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",42.964
"DNK","BB-P100-TOT","2017","100HAB",0,"Unités",43.556
"DNK","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",43.576
"DNK","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",43.556
"DNK","BB-P100-TOT","2018","100HAB",0,"Unités",43.768
"DNK","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",43.887
"DNK","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",43.768
"DNK","BB-P100-TOT","2019","100HAB",0,"Unités",43.59
"DNK","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",43.991
"DNK","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",43.59
"FIN","BB-P100-TOT","2016","100HAB",0,"Unités",31.154
"FIN","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",31.092
"FIN","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",31.154
"FIN","BB-P100-TOT","2017","100HAB",0,"Unités",31.045
"FIN","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",31.063
"FIN","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",31.045
"FIN","BB-P100-TOT","2018","100HAB",0,"Unités",31.489
"FIN","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",31.008
"FIN","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",31.489
"FIN","BB-P100-TOT","2019","100HAB",0,"Unités",32.545
"FIN","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",31.942
"FIN","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",32.545
"FRA","BB-P100-TOT","2016","100HAB",0,"Unités",41.418
"FRA","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",40.895
"FRA","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",41.418
"FRA","BB-P100-TOT","2017","100HAB",0,"Unités",42.884
"FRA","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",41.979
"FRA","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",42.884
"FRA","BB-P100-TOT","2018","100HAB",0,"Unités",43.257
"FRA","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",42.746
"FRA","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",43.257
"FRA","BB-P100-TOT","2019","100HAB",0,"Unités",44.119
"FRA","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",43.671
"FRA","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",44.119
"DEU","BB-P100-TOT","2016","100HAB",0,"Unités",38.698
"DEU","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",38.411
"DEU","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",38.698
"DEU","BB-P100-TOT","2017","100HAB",0,"Unités",40.205
"DEU","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",39.502
"DEU","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",40.205
"DEU","BB-P100-TOT","2018","100HAB",0,"Unités",41.194
"DEU","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",40.683
"DEU","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",41.194
"DEU","BB-P100-TOT","2019","100HAB",0,"Unités",42.212
"DEU","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",41.706
"DEU","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",42.212
"GRC","BB-P100-TOT","2016","100HAB",0,"Unités",33.563
"GRC","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",32.541
"GRC","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",33.563
"GRC","BB-P100-TOT","2017","100HAB",0,"Unités",35.291
"GRC","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",34.214
"GRC","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",35.291
"GRC","BB-P100-TOT","2018","100HAB",0,"Unités",36.939
"GRC","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",36.122
"GRC","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",36.939
"GRC","BB-P100-TOT","2019","100HAB",0,"Unités",38.653
"GRC","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",37.661
"GRC","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",38.653
"HUN","BB-P100-TOT","2016","100HAB",0,"Unités",28.679
"HUN","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",28.095
"HUN","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",28.679
"HUN","BB-P100-TOT","2017","100HAB",0,"Unités",30.206
"HUN","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",29.299
"HUN","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",30.206
"HUN","BB-P100-TOT","2018","100HAB",0,"Unités",31.502
"HUN","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",30.652
"HUN","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",31.502
"HUN","BB-P100-TOT","2019","100HAB",0,"Unités",32.644
"HUN","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",32.155
"HUN","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",32.644
"ISL","BB-P100-TOT","2016","100HAB",0,"Unités",38.17
"ISL","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",37.774
"ISL","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",38.17
"ISL","BB-P100-TOT","2017","100HAB",0,"Unités",38.897
"ISL","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",38.799
"ISL","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",38.897
"ISL","BB-P100-TOT","2018","100HAB",0,"Unités",38.717
"ISL","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",39.277
"ISL","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",38.717
"ISL","BB-P100-TOT","2019","100HAB",0,"Unités",38.614
"ISL","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",38.967
"ISL","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",38.614
"IRL","BB-P100-TOT","2016","100HAB",0,"Unités",28.642
"IRL","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",28.34
"IRL","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",28.642
"IRL","BB-P100-TOT","2017","100HAB",0,"Unités",29.128
"IRL","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",29.038
"IRL","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",29.128
"IRL","BB-P100-TOT","2018","100HAB",0,"Unités",29.423
"IRL","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",29.429
"IRL","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",29.423
"IRL","BB-P100-TOT","2019","100HAB",0,"Unités",29.683
"IRL","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",29.737
"IRL","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",29.683
"ITA","BB-P100-TOT","2016","100HAB",0,"Unités",25.554
"ITA","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",25.061
"ITA","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",25.554
"ITA","BB-P100-TOT","2017","100HAB",0,"Unités",27.311
"ITA","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",26.492
"ITA","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",27.311
"ITA","BB-P100-TOT","2018","100HAB",0,"Unités",28.233
"ITA","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",27.868
"ITA","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",28.233
"ITA","BB-P100-TOT","2019","100HAB",0,"Unités",28.937
"ITA","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",28.383
"ITA","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",28.937
"JPN","BB-P100-TOT","2016","100HAB",0,"Unités",30.625
"JPN","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",30.169
"JPN","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",30.625
"JPN","BB-P100-TOT","2017","100HAB",0,"Unités",31.162
"JPN","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",30.85
"JPN","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",31.162
"JPN","BB-P100-TOT","2018","100HAB",0,"Unités",31.687
"JPN","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",31.365
"JPN","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",31.687
"JPN","BB-P100-TOT","2019","100HAB",0,"Unités",32.494
"JPN","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",32.045
"JPN","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",32.494
"KOR","BB-P100-TOT","2016","100HAB",0,"Unités",39.73
"KOR","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",39.415
"KOR","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",39.73
"KOR","BB-P100-TOT","2017","100HAB",0,"Unités",40.865
"KOR","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",40.487
"KOR","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",40.865
"KOR","BB-P100-TOT","2018","100HAB",0,"Unités",41.246
"KOR","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",41.096
"KOR","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",41.246
"KOR","BB-P100-TOT","2019","100HAB",0,"Unités",42.262
"KOR","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",41.898
"KOR","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",42.262
"LUX","BB-P100-TOT","2016","100HAB",0,"Unités",34.771
"LUX","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",35.014
"LUX","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",34.771
"LUX","BB-P100-TOT","2017","100HAB",0,"Unités",35.897
"LUX","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",35.696
"LUX","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",35.897
"LUX","BB-P100-TOT","2018","100HAB",0,"Unités",36.827
"LUX","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",36.901
"LUX","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",36.827
"LUX","BB-P100-TOT","2019","100HAB",0,"Unités",37.023
"LUX","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",37.311
"LUX","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",37.023
"MEX","BB-P100-TOT","2016","100HAB",0,"Unités",13.04
"MEX","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",12.465
"MEX","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",13.04
"MEX","BB-P100-TOT","2017","100HAB",0,"Unités",13.781
"MEX","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",13.399
"MEX","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",13.781
"MEX","BB-P100-TOT","2018","100HAB",0,"Unités",14.737
"MEX","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",14.373
"MEX","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",14.737
"MEX","BB-P100-TOT","2019","100HAB",0,"Unités",15.389
"MEX","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",15.088
"MEX","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",15.389
"NLD","BB-P100-TOT","2016","100HAB",0,"Unités",42.408
"NLD","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",41.924
"NLD","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",42.408
"NLD","BB-P100-TOT","2017","100HAB",0,"Unités",42.549
"NLD","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",42.467
"NLD","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",42.549
"NLD","BB-P100-TOT","2018","100HAB",0,"Unités",42.978
"NLD","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",43.027
"NLD","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",42.978
"NLD","BB-P100-TOT","2019","100HAB",0,"Unités",43.275
"NLD","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",43.128
"NLD","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",43.275
"NZL","BB-P100-TOT","2016","100HAB",0,"Unités",33.046
"NZL","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",32.606
"NZL","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",33.046
"NZL","BB-P100-TOT","2017","100HAB",0,"Unités",33.907
"NZL","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",33.638
"NZL","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",33.907
"NZL","BB-P100-TOT","2018","100HAB",0,"Unités",34.182
"NZL","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",34.422
"NZL","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",34.182
"NZL","BB-P100-TOT","2019","100HAB",0,"Unités",34.737
"NZL","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",34.846
"NZL","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",34.737
"NOR","BB-P100-TOT","2016","100HAB",0,"Unités",40.24
"NOR","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",39.9
"NOR","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",40.24
"NOR","BB-P100-TOT","2017","100HAB",0,"Unités",41.031
"NOR","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",40.695
"NOR","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",41.031
"NOR","BB-P100-TOT","2018","100HAB",0,"Unités",41.526
"NOR","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",41.24
"NOR","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",41.526
"NOR","BB-P100-TOT","2019","100HAB",0,"Unités",42.27
"NOR","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",41.879
"NOR","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",42.27
"POL","BB-P100-TOT","2016","100HAB",0,"Unités",18.327
"POL","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",18.342
"POL","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",18.327
"POL","BB-P100-TOT","2017","100HAB",0,"Unités",18.358
"POL","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",18.341
"POL","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",18.358
"POL","BB-P100-TOT","2018","100HAB",0,"Unités",20.204
"POL","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",18.438
"POL","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",20.204
"POL","BB-P100-TOT","2019","100HAB",0,"Unités",20.318
"POL","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",19.706
"POL","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",20.318
"PRT","BB-P100-TOT","2016","100HAB",0,"Unités",32.692
"PRT","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",31.471
"PRT","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",32.692
"PRT","BB-P100-TOT","2017","100HAB",0,"Unités",34.704
"PRT","BB-P100-TOT","2017-Q2","100HAB",0,"Unités",33.555
"PRT","BB-P100-TOT","2017-Q4","100HAB",0,"Unités",34.704
"PRT","BB-P100-TOT","2018","100HAB",0,"Unités",36.802
"PRT","BB-P100-TOT","2018-Q2","100HAB",0,"Unités",35.629
"PRT","BB-P100-TOT","2018-Q4","100HAB",0,"Unités",36.802
"PRT","BB-P100-TOT","2019","100HAB",0,"Unités",38.611
"PRT","BB-P100-TOT","2019-Q2","100HAB",0,"Unités",37.612
"PRT","BB-P100-TOT","2019-Q4","100HAB",0,"Unités",38.611
"SVK","BB-P100-TOT","2016","100HAB",0,"Unités",24.61
"SVK","BB-P100-TOT","2016-Q2","100HAB",0,"Unités",23.842
"SVK","BB-P100-TOT","2016-Q4","100HAB",0,"Unités",24.61
