"LOCATION","VAR","TIME","Value"
"AUS","BB-P100-TOT",2016,30.483
"AUS","BB-P100-TOT",2017,32.201
"AUS","BB-P100-TOT",2018,33.719
"AUS","BB-P100-TOT",2019,34.499
"AUT","BB-P100-TOT",2016,28.87
"AUT","BB-P100-TOT",2017,28.551
"AUT","BB-P100-TOT",2018,28.53
"AUT","BB-P100-TOT",2019,28.389
"BEL","BB-P100-TOT",2016,37.687
"BEL","BB-P100-TOT",2017,38.496
"BEL","BB-P100-TOT",2018,39.406
"BEL","BB-P100-TOT",2019,39.975
"CAN","BB-P100-TOT",2016,37.072
"CAN","BB-P100-TOT",2017,38.103
"CAN","BB-P100-TOT",2018,38.643
"CAN","BB-P100-TOT",2019,40.854
"CZE","BB-P100-TOT",2016,29.003
"CZE","BB-P100-TOT",2017,29.62
"CZE","BB-P100-TOT",2018,30.249
"CZE","BB-P100-TOT",2019,34.731
"DNK","BB-P100-TOT",2016,42.964
"DNK","BB-P100-TOT",2017,43.556
"DNK","BB-P100-TOT",2018,43.768
"DNK","BB-P100-TOT",2019,43.59
"FIN","BB-P100-TOT",2016,31.154
"FIN","BB-P100-TOT",2017,31.045
"FIN","BB-P100-TOT",2018,31.489
"FIN","BB-P100-TOT",2019,32.545
"FRA","BB-P100-TOT",2016,41.418
"FRA","BB-P100-TOT",2017,42.884
"FRA","BB-P100-TOT",2018,43.257
"FRA","BB-P100-TOT",2019,44.119
"DEU","BB-P100-TOT",2016,38.698
"DEU","BB-P100-TOT",2017,40.205
"DEU","BB-P100-TOT",2018,41.194
"DEU","BB-P100-TOT",2019,42.212
"GRC","BB-P100-TOT",2016,33.563
"GRC","BB-P100-TOT",2017,35.291
"GRC","BB-P100-TOT",2018,36.939
"GRC","BB-P100-TOT",2019,38.653
"HUN","BB-P100-TOT",2016,28.679
"HUN","BB-P100-TOT",2017,30.206
"HUN","BB-P100-TOT",2018,31.502
"HUN","BB-P100-TOT",2019,32.644
"ISL","BB-P100-TOT",2016,38.17
"ISL","BB-P100-TOT",2017,38.897
"ISL","BB-P100-TOT",2018,38.717
"ISL","BB-P100-TOT",2019,38.614
"IRL","BB-P100-TOT",2016,28.642
"IRL","BB-P100-TOT",2017,29.128
"IRL","BB-P100-TOT",2018,29.423
"IRL","BB-P100-TOT",2019,29.683
"ITA","BB-P100-TOT",2016,25.554
"ITA","BB-P100-TOT",2017,27.311
"ITA","BB-P100-TOT",2018,28.233
"ITA","BB-P100-TOT",2019,28.937
"JPN","BB-P100-TOT",2016,30.625
"JPN","BB-P100-TOT",2017,31.162
"JPN","BB-P100-TOT",2018,31.687
"JPN","BB-P100-TOT",2019,32.494
"KOR","BB-P100-TOT",2016,39.73
"KOR","BB-P100-TOT",2017,40.865
"KOR","BB-P100-TOT",2018,41.246
"KOR","BB-P100-TOT",2019,42.262
"LUX","BB-P100-TOT",2016,34.771
"LUX","BB-P100-TOT",2017,35.897
"LUX","BB-P100-TOT",2018,36.827
"LUX","BB-P100-TOT",2019,37.023
"MEX","BB-P100-TOT",2016,13.04
"MEX","BB-P100-TOT",2017,13.781
"MEX","BB-P100-TOT",2018,14.737
"MEX","BB-P100-TOT",2019,15.389
"NLD","BB-P100-TOT",2016,42.408
"NLD","BB-P100-TOT",2017,42.549
"NLD","BB-P100-TOT",2018,42.978
"NLD","BB-P100-TOT",2019,43.275
"NZL","BB-P100-TOT",2016,33.046
"NZL","BB-P100-TOT",2017,33.907
"NZL","BB-P100-TOT",2018,34.182
"NZL","BB-P100-TOT",2019,34.737
"NOR","BB-P100-TOT",2016,40.24
"NOR","BB-P100-TOT",2017,41.031
"NOR","BB-P100-TOT",2018,41.526
"NOR","BB-P100-TOT",2019,42.27
"POL","BB-P100-TOT",2016,18.327
"POL","BB-P100-TOT",2017,18.358
"POL","BB-P100-TOT",2018,20.204
"POL","BB-P100-TOT",2019,20.318
"PRT","BB-P100-TOT",2016,32.692
"PRT","BB-P100-TOT",2017,34.704
"PRT","BB-P100-TOT",2018,36.802
"PRT","BB-P100-TOT",2019,38.611
"SVK","BB-P100-TOT",2016,24.61
"SVK","BB-P100-TOT",2017,25.83
"SVK","BB-P100-TOT",2018,27.69
"SVK","BB-P100-TOT",2019,29.278
"ESP","BB-P100-TOT",2016,30.492
"ESP","BB-P100-TOT",2017,31.105
"ESP","BB-P100-TOT",2018,32.007
"ESP","BB-P100-TOT",2019,32.555
"SWE","BB-P100-TOT",2016,37.079
"SWE","BB-P100-TOT",2017,38.442
"SWE","BB-P100-TOT",2018,39.052
"SWE","BB-P100-TOT",2019,39.291
"CHE","BB-P100-TOT",2016,45.682
"CHE","BB-P100-TOT",2017,47.048
"CHE","BB-P100-TOT",2018,46.243
"CHE","BB-P100-TOT",2019,46.463
"TUR","BB-P100-TOT",2016,13.244
"TUR","BB-P100-TOT",2017,14.848
"TUR","BB-P100-TOT",2018,16.469
"TUR","BB-P100-TOT",2019,17.3
"GBR","BB-P100-TOT",2016,38.803
"GBR","BB-P100-TOT",2017,39.436
"GBR","BB-P100-TOT",2018,40.018
"GBR","BB-P100-TOT",2019,40.141
"USA","BB-P100-TOT",2016,32.697
"USA","BB-P100-TOT",2017,33.25
"USA","BB-P100-TOT",2018,33.859
"USA","BB-P100-TOT",2019,34.65
"AUS","BB-P100-DSL",2016,21.195
"AUS","BB-P100-DSL",2017,21.029
"AUS","BB-P100-DSL",2018,19.482
"AUS","BB-P100-DSL",2019,18.345
"AUT","BB-P100-DSL",2016,18.692
"AUT","BB-P100-DSL",2017,18.029
"AUT","BB-P100-DSL",2018,17.641
"AUT","BB-P100-DSL",2019,17.235
"BEL","BB-P100-DSL",2016,18.237
"BEL","BB-P100-DSL",2017,18.281
"BEL","BB-P100-DSL",2018,18.607
"BEL","BB-P100-DSL",2019,18.488
"CAN","BB-P100-DSL",2016,12.349
"CAN","BB-P100-DSL",2017,11.793
"CAN","BB-P100-DSL",2018,10.948
"CAN","BB-P100-DSL",2019,10.809
"CZE","BB-P100-DSL",2016,8.61
"CZE","BB-P100-DSL",2017,8.289
"CZE","BB-P100-DSL",2018,8.374
"CZE","BB-P100-DSL",2019,8.623
"DNK","BB-P100-DSL",2016,18.337
"DNK","BB-P100-DSL",2017,16.691
"DNK","BB-P100-DSL",2018,14.898
"DNK","BB-P100-DSL",2019,12.941
"FIN","BB-P100-DSL",2016,10.791
"FIN","BB-P100-DSL",2017,9.15
"FIN","BB-P100-DSL",2018,7.342
"FIN","BB-P100-DSL",2019,6.266
"FRA","BB-P100-DSL",2016,32.477
"FRA","BB-P100-DSL",2017,31.171
"FRA","BB-P100-DSL",2018,29.082
"FRA","BB-P100-DSL",2019,26.398
"DEU","BB-P100-DSL",2016,29.194
"DEU","BB-P100-DSL",2017,29.854
"DEU","BB-P100-DSL",2018,30.151
"DEU","BB-P100-DSL",2019,30.398
"GRC","BB-P100-DSL",2016,33.446
"GRC","BB-P100-DSL",2017,35.17
"GRC","BB-P100-DSL",2018,36.831
"GRC","BB-P100-DSL",2019,38.53
"HUN","BB-P100-DSL",2016,8.041
"HUN","BB-P100-DSL",2017,7.928
"HUN","BB-P100-DSL",2018,7.51
"HUN","BB-P100-DSL",2019,6.876
"ISL","BB-P100-DSL",2016,25.297
"ISL","BB-P100-DSL",2017,22.024
"ISL","BB-P100-DSL",2018,18.073
"ISL","BB-P100-DSL",2019,14.242
"IRL","BB-P100-DSL",2016,19.669
"IRL","BB-P100-DSL",2017,19.433
"IRL","BB-P100-DSL",2018,18.816
"IRL","BB-P100-DSL",2019,17.728
"ITA","BB-P100-DSL",2016,20.01
"ITA","BB-P100-DSL",2017,17.905
"ITA","BB-P100-DSL",2018,14.177
"ITA","BB-P100-DSL",2019,11.905
"JPN","BB-P100-DSL",2016,2.267
"JPN","BB-P100-DSL",2017,1.771
"JPN","BB-P100-DSL",2018,1.44
"JPN","BB-P100-DSL",2019,1.176
"KOR","BB-P100-DSL",2016,2.279
"KOR","BB-P100-DSL",2017,1.82
"KOR","BB-P100-DSL",2018,1.35
"KOR","BB-P100-DSL",2019,1.148
"LUX","BB-P100-DSL",2016,23.917
"LUX","BB-P100-DSL",2017,21.993
"LUX","BB-P100-DSL",2018,20.154
"LUX","BB-P100-DSL",2019,17.619
"MEX","BB-P100-DSL",2016,6.269
"MEX","BB-P100-DSL",2017,5.879
"MEX","BB-P100-DSL",2018,5.754
"MEX","BB-P100-DSL",2019,5.372
"NLD","BB-P100-DSL",2016,16.612
"NLD","BB-P100-DSL",2017,15.924
"NLD","BB-P100-DSL",2018,15.402
"NLD","BB-P100-DSL",2019,15.021
"NZL","BB-P100-DSL",2016,23.071
"NZL","BB-P100-DSL",2017,18.512
"NZL","BB-P100-DSL",2018,14.562
"NZL","BB-P100-DSL",2019,10.977
"NOR","BB-P100-DSL",2016,11.96
"NOR","BB-P100-DSL",2017,10.594
"NOR","BB-P100-DSL",2018,9.22
"NOR","BB-P100-DSL",2019,7.147
"POL","BB-P100-DSL",2016,6.495
"POL","BB-P100-DSL",2017,6.005
"POL","BB-P100-DSL",2018,5.358
"POL","BB-P100-DSL",2019,4.728
"PRT","BB-P100-DSL",2016,8.867
"PRT","BB-P100-DSL",2017,7.28
"PRT","BB-P100-DSL",2018,5.898
