"VAR","TIME","mean","na.rm"
"BB-DATA-GB","2016",2.60763157894737,TRUE
"BB-DATA-GB","2017",3.99868421052632,TRUE
"BB-DATA-GB","2018",5.43078947368421,TRUE
"BB-DATA-GB","2019",6.96727027027027,TRUE
"BB-M2M","2016",9245519.65714286,TRUE
"BB-M2M","2017",12795874.1142857,TRUE
"BB-M2M","2018",15539496.8571429,TRUE
"BB-M2M","2019",18749763.3714286,TRUE
"BB-P100-CAB","2016",8.43802857142857,TRUE
"BB-P100-CAB","2017",8.41925714285714,TRUE
"BB-P100-CAB","2018",8.83014285714286,TRUE
"BB-P100-CAB","2019",8.71341666666667,TRUE
"BB-P100-DSL","2016",14.6898684210526,TRUE
"BB-P100-DSL","2017",14.1549210526316,TRUE
"BB-P100-DSL","2018",13.0052105263158,TRUE
"BB-P100-DSL","2019",12.0760789473684,TRUE
"BB-P100-FIB","2016",7.22965789473684,TRUE
"BB-P100-FIB","2017",8.70386486486487,TRUE
"BB-P100-FIB","2018",9.79139473684211,TRUE
"BB-P100-FIB","2019",11.0832631578947,TRUE
"BB-P100-M2M","2016",14.1784285714286,TRUE
"BB-P100-M2M","2017",17.6155428571429,TRUE
"BB-P100-M2M","2018",20.986,TRUE
"BB-P100-M2M","2019",24.5347714285714,TRUE
"BB-P100-OTH","2016",0.422692307692308,TRUE
"BB-P100-OTH","2017",0.57664,TRUE
"BB-P100-OTH","2018",0.75436,TRUE
"BB-P100-OTH","2019",0.87016,TRUE
"BB-P100-TOT","2016",31.0149210526316,TRUE
"BB-P100-TOT","2017",31.8613947368421,TRUE
"BB-P100-TOT","2018",32.5518421052632,TRUE
"BB-P100-TOT","2019",33.2698684210526,TRUE
"BB-SUBS-CAB","2016",7363255.82857143,TRUE
"BB-SUBS-CAB","2017",7872214.94117647,TRUE
"BB-SUBS-CAB","2018",7992860.97142857,TRUE
"BB-SUBS-CAB","2019",8077549.16666667,TRUE
"BB-SUBS-DSL","2016",8882958.05263158,TRUE
"BB-SUBS-DSL","2017",8571727.31578947,TRUE
"BB-SUBS-DSL","2018",8078344.52631579,TRUE
"BB-SUBS-DSL","2019",7604574.47368421,TRUE
"BB-SUBS-FIB","2016",4341122.36842105,TRUE
"BB-SUBS-FIB","2017",5106244.7027027,TRUE
"BB-SUBS-FIB","2018",5637242.73684211,TRUE
"BB-SUBS-FIB","2019",6364131.05263158,TRUE
"BB-SUBS-OTH","2016",282054.666666667,TRUE
"BB-SUBS-OTH","2017",454511.846153846,TRUE
"BB-SUBS-OTH","2018",647680.384615385,TRUE
"BB-SUBS-OTH","2019",740806.153846154,TRUE
"BB-SUBS-TOT","2016",20659581.2105263,TRUE
"BB-SUBS-TOT","2017",21384848.4210526,TRUE
"BB-SUBS-TOT","2018",22047358.7894737,TRUE
"BB-SUBS-TOT","2019",22708216.7368421,TRUE
"BBW-P100-DEDI","2016",15.2520555555556,TRUE
"BBW-P100-DEDI","2017",13.6039722222222,TRUE
"BBW-P100-DEDI","2018",14.2296388888889,TRUE
"BBW-P100-DEDI","2019",14.0660277777778,TRUE
"BBW-P100-FIXW","2016",1.1780625,TRUE
"BBW-P100-FIXW","2017",1.249625,TRUE
"BBW-P100-FIXW","2018",1.281,TRUE
"BBW-P100-FIXW","2019",1.47225,TRUE
"BBW-P100-SAT","2016",0.0765714285714286,TRUE
"BBW-P100-SAT","2017",0.0782727272727273,TRUE
"BBW-P100-SAT","2018",0.0853809523809524,TRUE
"BBW-P100-SAT","2019",0.0719130434782609,TRUE
"BBW-P100-STAN","2016",74.8273684210526,TRUE
"BBW-P100-STAN","2017",81.5597105263158,TRUE
"BBW-P100-STAN","2018",88.1395,TRUE
"BBW-P100-STAN","2019",94.1836315789474,TRUE
"BBW-P100-TOT","2016",89.2766315789474,TRUE
"BBW-P100-TOT","2017",94.4477894736842,TRUE
"BBW-P100-TOT","2018",101.620236842105,TRUE
"BBW-P100-TOT","2019",107.509421052632,TRUE
"BBW-SUBS-DEDI","2016",7813239.77777778,TRUE
"BBW-SUBS-DEDI","2017",8213575.33333333,TRUE
"BBW-SUBS-DEDI","2018",8824915.5,TRUE
"BBW-SUBS-DEDI","2019",8968138.61111111,TRUE
"BBW-SUBS-FIXW","2016",409114.1875,TRUE
"BBW-SUBS-FIXW","2017",460125.806451613,TRUE
"BBW-SUBS-FIXW","2018",500622,TRUE
"BBW-SUBS-FIXW","2019",567453.419354839,TRUE
"BBW-SUBS-SAT","2016",179475.913043478,TRUE
"BBW-SUBS-SAT","2017",183957.826086957,TRUE
"BBW-SUBS-SAT","2018",195574.347826087,TRUE
"BBW-SUBS-SAT","2019",178305.6,TRUE
"BBW-SUBS-STAN","2016",60659795.1052632,TRUE
"BBW-SUBS-STAN","2017",64602997.5263158,TRUE
"BBW-SUBS-STAN","2018",69742738.5263158,TRUE
"BBW-SUBS-STAN","2019",73349937.5789474,TRUE
"BBW-SUBS-TOT","2016",68061811.7368421,TRUE
"BBW-SUBS-TOT","2017",72384279.4210526,TRUE
"BBW-SUBS-TOT","2018",78103184.7894737,TRUE
"BBW-SUBS-TOT","2019",81846068.8947368,TRUE
